CODENAME       | OSARCH       | CATEGORY       | VERSION | FILENAME                                  | NOTES
---------------|--------------|----------------|---------|-------------------------------------------|----------------------------------------------------
bookworm       | amd64        | transmission   | 4.0.3   | transmission-4.0.3-complete_amd64.deb     | Contains all binary for transmission
               |              |                |         |                                           | * transmission-cli, transmission-daemon, 
               |              |                |         |                                           |   transmission-gtk, transmission-qt
---------------|--------------|----------------|---------|-------------------------------------------|----------------------------------------------------
bullseye       | amd64        | transmission   | 4.0.3   | transmission-4.0.3-complete_amd64.deb     | Contains all binary for transmission
               |              |                |         |                                           | * transmission-cli, transmission-daemon, 
               |              |                |         |                                           |   transmission-gtk, transmission-qt
---------------|--------------|----------------|---------|-------------------------------------------|----------------------------------------------------
bullseye       | amd64        | transmission   | 4.0.2   | transmission-4.0.2-complete_amd64.deb     | Contains all binary for transmission
               |              |                |         |                                           | * transmission-cli, transmission-daemon, 
               |              |                |         |                                           |   transmission-gtk, transmission-qt
---------------|--------------|----------------|---------|-------------------------------------------|----------------------------------------------------
bullseye       | amd64        | transmission   | 3.00    | transmission-cli_3.00-1mod1_amd64.deb     |
               |              |                |         | transmission-common_3.00-1mod1_all.deb    |
               |              |                |         | transmission-daemon_3.00-1mod1_amd64.deb  |
               |              |                |         | transmission-gtk_3.00-1mod1_amd64.deb     |
               |              |                |         | transmission-qt_3.00-1mod1_amd64.deb      |
               |              |                |         | transmission_3.00-1mod1_all.deb           |
---------------|--------------|----------------|---------|-------------------------------------------|----------------------------------------------------
buster         | amd64        | transmission   | 4.0.3   | transmission-4.0.3-complete_amd64.deb     | Contains all binary except transmission-gtk
               |              |                |         |                                           | * transmission-cli, transmission-daemon,
               |              |                |         |                                           |   transmission-qt
---------------|--------------|----------------|---------|-------------------------------------------|----------------------------------------------------
buster         | amd64        | transmission   | 4.0.2   | transmission-4.0.2-complete_amd64.deb     | Contains all binary except transmission-gtk
               |              |                |         |                                           | * transmission-cli, transmission-daemon,
               |              |                |         |                                           |   transmission-qt
---------------|--------------|----------------|---------|-------------------------------------------|----------------------------------------------------
buster         | amd64        | transmission   | 3.00    | transmission-cli_3.00-1mod1_amd64.deb     |
               |              |                |         | transmission-common_3.00-1mod1_all.deb    |
               |              |                |         | transmission-daemon_3.00-1mod1_amd64.deb  |
               |              |                |         | transmission-gtk_3.00-1mod1_amd64.deb     |
               |              |                |         | transmission-qt_3.00-1mod1_amd64.deb      |
               |              |                |         | transmission_3.00-1mod1_all.deb           |
---------------|--------------|----------------|---------|-------------------------------------------|----------------------------------------------------
jammy          | amd64        | transmission   | 4.0.3   | transmission-4.0.3-complete_amd64.deb     | Contains all binary for transmission
               |              |                |         |                                           | * transmission-cli, transmission-daemon, 
               |              |                |         |                                           |   transmission-gtk, transmission-qt
---------------|--------------|----------------|---------|-------------------------------------------|----------------------------------------------------
